AccelX1, AccelY1, AccelZ1, GyroX1, GyroY1, GyroZ1, AccelX2, AccelY2, AccelZ2, GyroX2, GyroY2, GyroZ2
-1.06,0.51,9.77,-0.02,-0.05,0.12,-1.04,0.88,9.83,-0.04,0.03,0.11
-1.09,0.49,9.84,-0.03,-0.05,0.13,-1.11,0.86,9.92,-0.02,0.00,0.12
-1.12,0.44,9.80,0.01,-0.07,0.14,-1.08,0.81,9.81,-0.02,0.00,0.13
-1.13,0.44,9.82,0.04,-0.07,0.15,-1.13,0.81,9.88,0.03,-0.02,0.15
-1.12,0.52,9.78,0.08,-0.06,0.15,-1.13,0.81,9.88,0.03,-0.02,0.15
-1.15,0.59,9.79,0.09,-0.05,0.15,-1.21,0.86,9.86,0.07,0.00,0.16
-1.20,0.68,9.78,0.10,-0.05,0.15,-1.17,0.97,9.83,0.09,0.01,0.16
-1.24,0.74,9.77,0.08,-0.06,0.16,-1.18,1.11,9.84,0.07,0.00,0.15
-1.24,0.79,9.76,0.05,-0.06,0.15,-1.18,1.11,9.84,0.07,0.00,0.15
-1.23,0.88,9.73,0.02,-0.09,0.15,-1.23,1.17,9.80,0.04,-0.00,0.15
-1.24,0.84,9.75,-0.01,-0.10,0.14,-1.25,1.21,9.80,-0.00,-0.04,0.15
-1.19,0.78,9.70,-0.03,-0.13,0.14,-1.20,1.15,9.80,-0.04,-0.07,0.14
-1.14,0.77,9.75,-0.04,-0.14,0.14,-1.20,1.15,9.80,-0.04,-0.07,0.14
-1.12,0.66,9.79,-0.04,-0.14,0.14,-1.15,1.07,9.81,-0.05,-0.08,0.14
-1.05,0.61,9.76,-0.03,-0.13,0.14,-1.06,0.99,9.80,-0.05,-0.08,0.14
-1.00,0.59,9.78,-0.00,-0.13,0.13,-1.00,0.92,9.80,-0.02,-0.08,0.13
-0.99,0.54,9.87,0.00,-0.08,0.12,-1.00,0.92,9.80,-0.02,-0.08,0.13
-0.98,0.57,9.78,0.03,-0.07,0.12,-0.93,0.89,9.81,-0.01,-0.02,0.11
-0.98,0.63,9.78,0.04,-0.05,0.12,-0.99,0.95,9.88,0.03,-0.00,0.12
-1.03,0.65,9.81,0.04,-0.03,0.12,-1.03,0.96,9.91,0.03,0.02,0.12
-1.09,0.66,9.82,0.03,-0.02,0.12,-1.03,0.96,9.91,0.03,0.02,0.12
-1.13,0.69,9.84,0.03,-0.02,0.13,-1.08,1.03,9.93,0.03,0.03,0.12
-1.20,0.70,9.78,0.03,-0.04,0.13,-1.17,1.05,9.87,0.02,0.03,0.13
-1.25,0.73,9.80,0.03,-0.06,0.14,-1.21,1.06,9.83,0.02,0.01,0.14
-1.24,0.73,9.71,0.03,-0.09,0.14,-1.21,1.06,9.83,0.02,0.01,0.14
-1.22,0.75,9.76,0.02,-0.11,0.14,-1.22,1.08,9.79,0.02,-0.03,0.15
-1.20,0.74,9.73,0.02,-0.14,0.13,-1.23,1.09,9.76,0.01,-0.07,0.14
-1.12,0.76,9.76,0.01,-0.14,0.12,-1.13,1.10,9.80,0.00,-0.08,0.12
-1.09,0.74,9.77,-0.00,-0.12,0.11,-1.13,1.10,9.80,0.00,-0.08,0.12
-1.06,0.70,9.78,-0.02,-0.10,0.10,-1.05,1.07,9.87,-0.01,-0.06,0.11
-1.05,0.66,9.81,-0.01,-0.08,0.11,-1.05,1.03,9.82,-0.03,-0.04,0.11
-1.05,0.64,9.77,0.00,-0.09,0.11,-1.03,1.00,9.81,-0.01,-0.03,0.11
-1.04,0.65,9.82,0.01,-0.07,0.11,-1.03,1.00,9.81,-0.01,-0.03,0.11
-1.06,0.63,9.81,0.02,-0.05,0.11,-1.06,0.99,9.89,0.01,-0.02,0.11
-1.04,0.65,9.80,0.03,-0.05,0.11,-1.06,0.98,9.88,0.02,0.00,0.11
-1.12,0.69,9.84,0.04,-0.03,0.12,-1.12,0.99,9.92,0.03,0.02,0.12
-1.16,0.68,9.77,0.04,-0.03,0.12,-1.12,0.99,9.92,0.03,0.02,0.12
-1.20,0.67,9.73,0.04,-0.06,0.11,-1.13,0.94,9.70,0.04,0.02,0.12
-1.18,0.73,9.77,0.03,-0.10,0.12,-1.18,1.11,9.87,0.03,-0.03,0.12
-1.18,0.76,9.79,0.02,-0.10,0.12,-1.18,1.11,9.84,0.02,-0.05,0.12
-1.15,0.75,9.77,0.01,-0.11,0.12,-1.18,1.11,9.84,0.02,-0.05,0.12
-1.12,0.74,9.78,-0.01,-0.11,0.11,-1.15,1.11,9.85,0.00,-0.05,0.12
-1.10,0.69,9.77,-0.02,-0.10,0.12,-1.08,1.04,9.83,-0.03,-0.04,0.12
-1.08,0.65,9.81,-0.02,-0.09,0.13,-1.08,1.04,9.83,-0.03,-0.04,0.12
-1.08,0.63,9.82,-0.02,-0.09,0.14,-1.06,1.01,9.87,-0.03,-0.04,0.13
-1.05,0.59,9.80,-0.02,-0.09,0.16,-1.05,0.95,9.86,-0.04,-0.03,0.15
-1.05,0.56,9.78,-0.01,-0.09,0.17,-1.06,0.91,9.83,-0.02,-0.03,0.16
-1.06,0.55,9.85,0.01,-0.08,0.17,-1.06,0.91,9.83,-0.02,-0.03,0.16
-1.07,0.57,9.82,0.02,-0.06,0.18,-1.06,0.91,9.89,0.00,-0.02,0.18
-1.10,0.57,9.79,0.02,-0.04,0.19,-1.08,0.92,9.89,0.02,0.01,0.19
-1.12,0.60,9.78,0.03,-0.03,0.20,-1.12,0.94,9.87,0.02,0.02,0.20
